Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene type	Phenotype description	Source name	Gene name	RefSeq match transcript
ENSG00000188070	11	63759892	63768775	protein_coding	Ependymoma	Orphanet	C11orf95	NM_001144936.2
ENSG00000188070	11	63759892	63768775	protein_coding	Ependymoma	Orphanet	C11orf95	
ENSG00000188070	11	63759892	63768775	protein_coding	RELA fusion-positive ependymoma	Orphanet	C11orf95	NM_001144936.2
ENSG00000188070	11	63759892	63768775	protein_coding	RELA fusion-positive ependymoma	Orphanet	C11orf95	
ENSG00000257057	11	94512461	94532123	protein_coding			C11orf97	NM_001190462.2
ENSG00000226792	13	51082119	51200252	protein_coding			C13orf42	
ENSG00000234186	16	27066707	27069165	protein_coding			C16orf82	
ENSG00000256806	17	6651762	6693202	protein_coding			C17orf100	NM_001105520.2
ENSG00000256806	17	6651762	6693202	protein_coding			C17orf100	
ENSG00000267221	17	42038232	42050601	protein_coding			C17orf113	NM_001358661.2
ENSG00000223658	2	43675151	43676429	protein_coding			C1GALT1C1L	NM_001101330.3
ENSG00000198547	20	32631625	32673941	protein_coding			C20orf203	NM_182584.4
ENSG00000198547	20	32631625	32673941	protein_coding			C20orf203	
ENSG00000196421	20	64034344	64039962	protein_coding			C20orf204	
ENSG00000228486	2	97664217	97703064	protein_coding			C2orf92	
ENSG00000241224	3	109118252	109151401	protein_coding			C3orf85	
ENSG00000241224	3	109118252	109151401	protein_coding			C3orf85	NM_001351622.2
ENSG00000118412	6	89829894	89874436	protein_coding			CASP8AP2	
ENSG00000288475	CHR_HG2121_PATCH	89829894	89876779	protein_coding			CASP8AP2	
ENSG00000239521	7	100200653	100272232	protein_coding			CASTOR3	
ENSG00000230561	5	127703389	127941634	protein_coding			CCDC192	
ENSG00000269720	19	17390509	17394158	protein_coding			CCDC194	
ENSG00000196553	14	66411704	66498677	protein_coding			CCDC196	
ENSG00000280668	CHR_HSCHR14_7_CTG1	93997270	94008863	lncRNA			CCDC197	
ENSG00000175699	14	93987225	94008863	protein_coding			CCDC197	
ENSG00000175699	14	93987225	94008863	protein_coding			CCDC197	NM_001351596.2
ENSG00000236383	17	43216941	43305397	protein_coding			CCDC200	
ENSG00000204936	19	43353686	43363172	protein_coding			CD177	NM_020406.4
ENSG00000204936	19	43353686	43363172	protein_coding			CD177	
ENSG00000254126	2	106487364	106544297	protein_coding			CD8B2	
ENSG00000254126	2	106487364	106544297	protein_coding			CD8B2	NM_001349727.2
ENSG00000218305	7	48919765	48927454	protein_coding			CDC14C	
ENSG00000223591	X	51710512	51712131	protein_coding			CENPVL1	NM_001355277.1
ENSG00000224109	X	51617024	51618968	protein_coding			CENPVL3	
ENSG00000206113	4	2418974	2462942	protein_coding			CFAP99	
ENSG00000188585	1	178479247	178499634	protein_coding			CLEC20A	
ENSG00000160963	7	101362875	101559024	protein_coding			COL26A1	NM_001278563.3
ENSG00000160963	7	101362875	101559024	protein_coding			COL26A1	
ENSG00000268902	X	152708261	152714549	protein_coding			CSAG2	
ENSG00000259417	15	80195481	80252213	protein_coding			CTXND1	NM_001352888.2
ENSG00000215115	X	71714371	71718151	protein_coding			CXorf49	
ENSG00000215113	X	71763424	71767204	protein_coding			CXorf49B	
ENSG00000224440	X	146814106	146814726	protein_coding			CXorf51A	
ENSG00000235699	X	146809771	146810411	protein_coding			CXorf51B	NM_001244892.2
ENSG00000186526	19	15615218	15630639	protein_coding			CYP4F8	
ENSG00000186526	19	15615218	15630639	protein_coding			CYP4F8	NM_007253.4
ENSG00000225805	11	71878453	71884561	protein_coding			DEFB131B	NM_001242853.1
ENSG00000263201	16	68013436	68015911	protein_coding			DPEP2NB	NM_001282442.2
ENSG00000268041	19	41907705	41928516	protein_coding			ERFL	
ENSG00000142396	19	58305319	58315663	protein_coding			ERVK3-1	
ENSG00000238210	X	135252061	135253583	protein_coding			ETDA	
ENSG00000238210	X	135252061	135253583	protein_coding			ETDA	NM_001355522.1
ENSG00000224107	X	135118955	135120526	protein_coding			ETDB	
ENSG00000224107	X	135118955	135120526	protein_coding			ETDB	NM_001355519.1
ENSG00000250821	4	55819819	55837487	protein_coding			EXOC1L	
ENSG00000187791	9	34889066	34895764	protein_coding			FAM205C	NM_001309427.2
ENSG00000187791	9	34889066	34895764	protein_coding			FAM205C	
ENSG00000268994	X	72781865	72782660	protein_coding			FAM236B	NM_001348072.1
ENSG00000225396	X	72807425	72808210	protein_coding			FAM236D	
ENSG00000235118	2	206642412	206649011	protein_coding			FAM237A	
ENSG00000249715	2	96642737	96704887	protein_coding			FER1L5	
ENSG00000249715	2	96642737	96704887	protein_coding			FER1L5	NM_001293083.2
ENSG00000261308	12	51817840	51848766	protein_coding			FIGNL2	
ENSG00000214336	2	88446787	88452693	protein_coding			FOXI3	NM_001135649.3
ENSG00000248767	7	290170	294422	protein_coding			FOXL3	
ENSG00000240445	17	18667629	18682262	protein_coding			FOXO3B	
ENSG00000183185	3	97986673	98035304	protein_coding			GABRR3	
ENSG00000250298	4	106357485	106368778	protein_coding			GIMD1	
ENSG00000229894	4	165277812	165279679	protein_coding			GK3P	
ENSG00000255151	11	59086307	59094786	protein_coding			GLYATL1B	NM_001355566.1
ENSG00000244234	5	178184503	178187432	protein_coding			GMCL2	
ENSG00000261649	15	28841833	28848675	protein_coding			GOLGA6L7	
ENSG00000179600	14	63312835	63318935	protein_coding			GPHB5	NM_145171.4
ENSG00000179600	14	63312835	63318935	protein_coding			GPHB5	
ENSG00000214943	14	31482875	31488039	protein_coding			GPR33	NM_001197184.3
ENSG00000144596	3	14489107	14556075	protein_coding			GRIP2	NM_001080423.4
ENSG00000144596	3	14489107	14556075	protein_coding			GRIP2	
ENSG00000229674	X	37994252	37994918	protein_coding			H2AL1RP	
ENSG00000234289	21	43565182	43565648	protein_coding			H2BS1	NM_017445.3
ENSG00000273213	1	143894544	143905966	protein_coding			H3-2	
ENSG00000269466	5	17654868	17655849	protein_coding			H3Y1	NM_001355258.2
ENSG00000268799	5	17491325	17491769	protein_coding			H3Y2	
ENSG00000224578	16	51553436	51647132	protein_coding			HNRNPA1P48	
ENSG00000179412	1	13163914	13165631	protein_coding			HNRNPCL4	NM_001302551.2
ENSG00000282095	CHR_HG1342_HG2282_PATCH	13137413	13138294	protein_coding			HNRNPCL4	
ENSG00000283231	CHR_HSCHR1_5_CTG3	13164586	13165467	protein_coding			HNRNPCL4	
ENSG00000259330	15	40323692	40326715	protein_coding			INAFM2	NM_001301268.2
ENSG00000259330	15	40323692	40326715	protein_coding			INAFM2	
ENSG00000203499	8	143734140	143790644	protein_coding			IQANK1	
ENSG00000234828	4	149351903	149896233	protein_coding			IQCM	
ENSG00000234616	8	142657460	142681968	protein_coding	Childhood absence epilepsy	Orphanet	JRK	
ENSG00000234616	8	142657460	142681968	protein_coding	Childhood absence epilepsy	Orphanet	JRK	NM_003724.4
ENSG00000234616	8	142657460	142681968	protein_coding	Juvenile myoclonic epilepsy	Orphanet	JRK	
ENSG00000234616	8	142657460	142681968	protein_coding	Juvenile myoclonic epilepsy	Orphanet	JRK	NM_003724.4
ENSG00000232593	X	53094145	53170914	protein_coding			KANTR	
ENSG00000135253	7	128862451	128910719	protein_coding			KCP	
ENSG00000255855	11	95049422	95051338	protein_coding			KDM4F	
ENSG00000088970	20	21125983	21246622	protein_coding	Retinitis pigmentosa	Orphanet	KIZ	
ENSG00000088970	20	21125983	21246622	protein_coding	Retinitis pigmentosa	Orphanet	KIZ	NM_018474.6
ENSG00000088970	20	21125983	21246622	protein_coding	RETINITIS PIGMENTOSA 69	MIM morbid	KIZ	
ENSG00000088970	20	21125983	21246622	protein_coding	RETINITIS PIGMENTOSA 69	MIM morbid	KIZ	NM_018474.6
ENSG00000262152	16	2988256	3002016	protein_coding			LINC00514	
ENSG00000205704	22	41952174	41958933	protein_coding			LINC00634	
ENSG00000263874	17	38925168	38929384	protein_coding			LINC00672	
ENSG00000268480	19	8630635	8677708	protein_coding			LINC01862	
ENSG00000282456	CHR_HSCHR17_2_CTG5	45633529	45828162	lncRNA			LINC02210-CRHR1	
ENSG00000263715	17	45620344	45835826	protein_coding			LINC02210-CRHR1	
ENSG00000249662	5	17444010	17486829	protein_coding			LINC02218	
ENSG00000204583	12	132603150	132610582	protein_coding			LRCOL1	
ENSG00000204583	12	132603150	132610582	protein_coding			LRCOL1	NM_001195520.2
ENSG00000232030	X	26160601	26161824	protein_coding			MAGEB6B	
ENSG00000258102	12	116548105	116576606	protein_coding			MAP1LC3B2	
ENSG00000258102	12	116548105	116576606	protein_coding			MAP1LC3B2	NM_001085481.3
ENSG00000282637	CHR_HSCHR17_2_CTG5	45316960	45317040	lncRNA			MAP3K14	
ENSG00000006062	17	45263119	45317029	protein_coding	NIK deficiency	Orphanet	MAP3K14	NM_003954.5
ENSG00000006062	17	45263119	45317029	protein_coding	NIK deficiency	Orphanet	MAP3K14	
ENSG00000248109	5	148221650	148243580	protein_coding			MARCOL	
ENSG00000248109	5	148221650	148243580	protein_coding			MARCOL	NM_001363511.2
ENSG00000196589	19	7018969	7021450	protein_coding			MBD3L2B	
ENSG00000101898	20	31547412	31548081	protein_coding			MCTS2P	
ENSG00000242120	3	70194479	70312638	protein_coding			MDFIC2	NM_001364677.1
ENSG00000239642	5	131806990	131945698	protein_coding			MEIKIN	
ENSG00000239642	5	131806990	131945698	protein_coding			MEIKIN	NM_001303622.2
ENSG00000126005	20	35201745	35278131	protein_coding			MMP24OS	
ENSG00000126005	20	35201745	35278131	protein_coding			MMP24OS	NM_001355003.2
ENSG00000238205	X	40623566	40624136	protein_coding			MPC1L	
ENSG00000227877	10	59736692	59756041	protein_coding			MRLN	
ENSG00000227877	10	59736692	59756041	protein_coding			MRLN	NM_001304731.2
ENSG00000175701	2	110211529	110245420	protein_coding			MTLN	NM_001355251.2
ENSG00000175701	2	110211529	110245420	protein_coding			MTLN	
ENSG00000262179	6	44216926	44218234	protein_coding			MYMX	NM_001315494.2
ENSG00000262179	6	44216926	44218234	protein_coding			MYMX	
ENSG00000255192	15	35083410	35085295	protein_coding			NANOGP8	NM_001355281.2
ENSG00000255192	15	35083410	35085295	protein_coding			NANOGP8	
ENSG00000204272	X	56729241	56819179	protein_coding			NBDY	
ENSG00000204272	X	56729241	56819179	protein_coding			NBDY	NM_001348129.2
ENSG00000270170	3	196942674	196943543	protein_coding			NCBP2AS2	NM_001355243.2
ENSG00000163121	2	96497646	96508109	protein_coding			NEURL3	NM_001285485.2
ENSG00000163121	2	96497646	96508109	protein_coding			NEURL3	
ENSG00000167984	16	3539033	3577403	protein_coding			NLRC3	NM_178844.4
ENSG00000167984	16	3539033	3577403	protein_coding			NLRC3	
ENSG00000215174	X	57677067	57680260	protein_coding			NLRP2B	NM_001319967.1
ENSG00000177144	1	148748894	148750099	protein_coding			NUDT4B	
ENSG00000255393	11	59978020	60031077	protein_coding			OOSP4B	
ENSG00000285463	CHR_HSCHR11_1_CTG3_1	59978020	60031077	protein_coding			OOSP4B	
ENSG00000258453	14	19712904	19714332	protein_coding			OR11H2	
ENSG00000237988	6	29550407	29557721	protein_coding			OR2I1P	
ENSG00000229467	CHR_HSCHR6_MHC_COX_CTG1	29549819	29550766	unprocessed_pseudogene			OR2I1P	
ENSG00000226896	CHR_HSCHR6_MHC_APD_CTG1	29553320	29554267	unprocessed_pseudogene			OR2I1P	
ENSG00000237725	CHR_HSCHR6_MHC_DBB_CTG1	29553169	29554116	unprocessed_pseudogene			OR2I1P	
ENSG00000223441	CHR_HSCHR6_MHC_MANN_CTG1	29552784	29553731	unprocessed_pseudogene			OR2I1P	
ENSG00000231973	CHR_HSCHR6_MHC_QBL_CTG1	29553124	29554071	unprocessed_pseudogene			OR2I1P	
ENSG00000232049	CHR_HSCHR6_MHC_MCF_CTG1	29553030	29553977	unprocessed_pseudogene			OR2I1P	
ENSG00000167355	11	5303444	5505652	protein_coding			OR51B5	
ENSG00000197674	11	4690423	4697831	protein_coding			OR51C1P	
ENSG00000188691	11	5967177	5968494	protein_coding			OR56A5	NM_001146033.1
ENSG00000188691	11	5967177	5968494	protein_coding			OR56A5	
ENSG00000198678	12	48559882	48562956	protein_coding			OR5BS1P	
ENSG00000186886	11	55723776	55729621	protein_coding			OR5D3P	
ENSG00000197849	11	124241095	124254364	protein_coding			OR8G1	
ENSG00000183378	11	7689437	7706421	protein_coding			OVCH2	
ENSG00000110811	12	6828407	6839847	protein_coding			P3H3	NM_014262.5
ENSG00000110811	12	6828407	6839847	protein_coding			P3H3	
ENSG00000250719	1	46175486	46176488	protein_coding			P3R3URF	NM_001328655.2
ENSG00000177839	5	141187127	141191541	protein_coding			PCDHB9	
ENSG00000177839	5	141187127	141191541	protein_coding			PCDHB9	NM_019119.5
ENSG00000225973	15	55317184	55319161	protein_coding			PIGBOS1	NM_001308421.2
ENSG00000225973	15	55317184	55319161	protein_coding			PIGBOS1	
ENSG00000214897	X	153395639	153401392	protein_coding			PNMA6E	
ENSG00000214897	X	153395639	153401392	protein_coding			PNMA6E	NM_001367770.1
ENSG00000225110	X	153317680	153321767	protein_coding			PNMA6F	NM_001354980.2
ENSG00000231989	5	156850295	156852528	protein_coding			PPP1R2B	NM_206858.3
ENSG00000102055	X	42777366	42778163	protein_coding			PPP1R2C	NM_025210.2
ENSG00000224960	X	27460207	27463341	protein_coding			PPP4R3C	NM_207319.4
ENSG00000229637	17	48723185	48724758	protein_coding			PRAC2	NM_001282275.2
ENSG00000229637	17	48723185	48724758	protein_coding			PRAC2	
ENSG00000237700	1	13303539	13308907	protein_coding			PRAMEF33	NM_001291381.1
ENSG00000282125	CHR_HG1342_HG2282_PATCH	13276366	13281734	protein_coding			PRAMEF33	
ENSG00000283488	CHR_HSCHR1_5_CTG3	13273779	13279147	protein_coding			PRAMEF33	
ENSG00000270601	1	13254212	13263314	protein_coding			PRAMEF5	
ENSG00000276420	CHR_HSCHR1_2_CTG3	13272778	13282015	protein_coding			PRAMEF5	
ENSG00000282424	CHR_HG1342_HG2282_PATCH	13227039	13236141	protein_coding			PRAMEF5	
ENSG00000283150	CHR_HSCHR1_5_CTG3	13224452	13233554	protein_coding			PRAMEF5	
ENSG00000204505	1	13172455	13179464	protein_coding			PRAMEF9	
ENSG00000282298	CHR_HG1342_HG2282_PATCH	13145282	13152291	protein_coding			PRAMEF9	
ENSG00000283139	CHR_HSCHR1_5_CTG3	13172455	13179464	protein_coding			PRAMEF9	
ENSG00000099725	Y	7273972	7381548	protein_coding			PRKY	
ENSG00000239620	3	127283784	127288046	protein_coding			PRR20G	
ENSG00000215148	16	2798470	2805304	protein_coding			PRSS41	
ENSG00000253649	8	10482878	10547585	protein_coding			PRSS51	
ENSG00000169763	Y	23681440	23694579	protein_coding			PRYP3	
ENSG00000221878	19	42924132	42937207	protein_coding			PSG7	
ENSG00000221878	19	42924132	42937207	protein_coding			PSG7	NM_002783.3
ENSG00000225180	17	81165507	81183166	protein_coding			PVALEF	
ENSG00000225180	17	81165507	81183166	protein_coding			PVALEF	NM_001354639.2
ENSG00000233087	2	131361111	131364142	protein_coding			RAB6D	
ENSG00000235272	6	166585604	166587594	protein_coding			RAMACL	
ENSG00000189431	11	13009316	13012119	protein_coding			RASSF10	NM_001080521.3
ENSG00000170468	14	73490933	73493394	protein_coding			RIOX1	NM_024644.5
ENSG00000179859	17	7913324	7916276	protein_coding			RNF227	
ENSG00000231767	1	192716132	192716653	protein_coding			RPS27AP5	
ENSG00000255071	11	18231423	18248635	protein_coding			SAA2-SAA4	
ENSG00000214279	10	133453928	133523558	protein_coding			SCART1	
ENSG00000012171	3	50267558	50277546	protein_coding			SEMA3B	
ENSG00000012171	3	50267558	50277546	protein_coding			SEMA3B	NM_001290060.2
ENSG00000206072	18	63647579	63726432	protein_coding			SERPINB11	
ENSG00000260802	X	111511662	111522399	protein_coding			SERTM2	
ENSG00000230667	1	92074533	92075441	protein_coding			SETSIP	
ENSG00000236396	18	11609596	11610612	protein_coding			SLC35G4	
ENSG00000188338	3	50205246	50221486	protein_coding			SLC38A3	
ENSG00000188338	3	50205246	50221486	protein_coding			SLC38A3	NM_006841.6
ENSG00000262986	CHR_HSCHR12_2_CTG2	11203312	11203513	processed_pseudogene			SMIM10L1	
ENSG00000281930	CHR_HSCHR12_3_CTG2	11167456	11172249	lncRNA			SMIM10L1	
ENSG00000256537	12	11171194	11176016	protein_coding			SMIM10L1	NM_001271592.2
ENSG00000178947	X	135421944	135428075	protein_coding			SMIM10L2A	NM_203306.3
ENSG00000196972	X	135094985	135098712	protein_coding			SMIM10L2B	NM_001348255.2
ENSG00000232388	20	18567347	18569563	protein_coding			SMIM26	
ENSG00000232388	20	18567347	18569563	protein_coding			SMIM26	NM_001348957.2
ENSG00000235453	9	32551144	32568621	protein_coding			SMIM27	
ENSG00000248771	4	164754064	164803795	protein_coding			SMIM31	
ENSG00000248771	4	164754064	164803795	protein_coding			SMIM31	NM_001352885.1
ENSG00000271824	5	136191468	136193162	protein_coding			SMIM32	NM_001350994.2
ENSG00000255274	11	118003634	118088299	protein_coding			SMIM35	
ENSG00000261873	17	55448433	55511444	protein_coding			SMIM36	
ENSG00000235387	9	35909490	35937153	protein_coding			SPAAR	NM_001348107.3
ENSG00000235387	9	35909490	35937153	protein_coding			SPAAR	
ENSG00000182310	19	51689128	51712387	protein_coding			SPACA6	
ENSG00000122432	1	84506300	84566194	protein_coding			SPATA1	
ENSG00000186788	9	81943586	81950038	protein_coding			SPATA31D3	
ENSG00000189357	9	81928514	81934948	protein_coding			SPATA31D4	
ENSG00000281950	CHR_HSCHR7_2_CTG4_4	76519194	76529340	protein_coding			SPDYE16	
ENSG00000185040	7	76531319	76541459	protein_coding			SPDYE16	
ENSG00000186645	7	77022925	77062552	protein_coding			SPDYE17	
ENSG00000230358	7	67278714	67286664	protein_coding			SPDYE21	
ENSG00000170092	7	75493625	75504304	protein_coding			SPDYE5	
ENSG00000260097	7	102345746	102356444	protein_coding			SPDYE6	NM_001146210.4
ENSG00000262461	7	73076165	73086038	protein_coding			SPDYE9	
ENSG00000005206	19	2328615	2355095	protein_coding			SPPL2B	
ENSG00000005206	19	2328615	2355095	protein_coding			SPPL2B	NM_152988.3
ENSG00000247595	11	18588781	18610255	protein_coding			SPTY2D1OS	
ENSG00000196369	1	144887265	145095528	protein_coding			SRGAP2B	
ENSG00000171943	1	121184811	121392874	protein_coding			SRGAP2C	NM_001329984.2
ENSG00000171943	1	121184811	121392874	protein_coding			SRGAP2C	
ENSG00000263465	11	95067197	95071224	protein_coding			SRSF8	
ENSG00000230268	7	124476371	124476955	protein_coding			SSU72P8	
ENSG00000240045	3	155290227	155293683	protein_coding			STRIT1	NM_001352129.2
ENSG00000157152	3	12004388	12192032	protein_coding	Schizophrenia	MIM morbid	SYN2	NM_133625.6
ENSG00000157152	3	12004388	12192032	protein_coding	Schizophrenia	MIM morbid	SYN2	
ENSG00000258644	14	70326064	70417074	protein_coding			SYNJ2BP-COX16	
ENSG00000237110	6	132538290	132539336	protein_coding			TAAR9	
ENSG00000249156	5	17610496	17611583	protein_coding			TAF11L12	
ENSG00000250782	5	17634460	17635053	protein_coding			TAF11L14	
ENSG00000261408	17	75979231	76005999	protein_coding			TEN1-CDK3	
ENSG00000230601	9	114666434	114682192	protein_coding			TEX48	NM_001199233.2
ENSG00000230601	9	114666434	114682192	protein_coding			TEX48	
ENSG00000232113	1	173635338	173637130	protein_coding			TEX50	NM_001195190.3
ENSG00000230054	9	114656304	114662374	protein_coding			TEX53	NM_001354645.2
ENSG00000230054	9	114656304	114662374	protein_coding			TEX53	
ENSG00000223573	19	5558167	5578349	protein_coding			TINCR	
ENSG00000260734	16	71429980	71442054	protein_coding			TLE7	NM_001367365.2
ENSG00000189077	7	75986831	75994656	protein_coding			TMEM120A	NM_031925.3
ENSG00000189077	7	75986831	75994656	protein_coding			TMEM120A	
ENSG00000206140	22	21466423	21471269	protein_coding			TMEM191C	
ENSG00000244219	7	99598267	99611045	protein_coding			TMEM225B	NM_001195541.3
ENSG00000244219	7	99598267	99611045	protein_coding			TMEM225B	
ENSG00000263429	17	10794913	10804099	protein_coding			TMEM238L	
ENSG00000273238	4	573880	576295	protein_coding			TMEM271	NM_001362796.2
ENSG00000197253	16	1227272	1230184	protein_coding			TPSB2	
ENSG00000197253	16	1227272	1230184	protein_coding			TPSB2	NM_024164.6
ENSG00000255690	7	28953358	28958330	protein_coding			TRIL	NM_014817.4
ENSG00000144010	2	95476967	95484731	protein_coding			TRIM43B	
ENSG00000233802	11	89924064	89933063	protein_coding			TRIM49D2	
ENSG00000220948	11	48975324	48983826	protein_coding			TRIM51GP	
ENSG00000204450	11	89968502	89974072	protein_coding			TRIM64	
ENSG00000250374	4	165053864	165060554	protein_coding			TRIM75P	
ENSG00000204025	X	111876051	111903990	protein_coding			TRPC5OS	
ENSG00000175513	11	65945445	65959963	protein_coding			TSGA10IP	
ENSG00000182612	17	81637171	81648749	protein_coding			TSPAN10	
ENSG00000204815	17	41930617	41966503	protein_coding	Primary Ciliary Dyskinesia with Left-Right Body Asymmetry Randomization	DDG2P	TTC25	
ENSG00000204815	17	41930617	41966503	protein_coding	Primary Ciliary Dyskinesia with Left-Right Body Asymmetry Randomization	DDG2P	TTC25	NM_031421.5
ENSG00000204815	17	41930617	41966503	protein_coding	Primary ciliary dyskinesia	Orphanet	TTC25	
ENSG00000204815	17	41930617	41966503	protein_coding	Primary ciliary dyskinesia	Orphanet	TTC25	NM_031421.5
ENSG00000204815	17	41930617	41966503	protein_coding	CILIARY DYSKINESIA PRIMARY 35	MIM morbid	TTC25	
ENSG00000204815	17	41930617	41966503	protein_coding	CILIARY DYSKINESIA PRIMARY 35	MIM morbid	TTC25	NM_031421.5
ENSG00000243910	2	219253243	219272197	protein_coding			TUBA4B	
ENSG00000243910	2	219253243	219272197	protein_coding			TUBA4B	NM_001355221.1
ENSG00000253352	22	30969245	30979395	protein_coding			TUG1	
ENSG00000250366	14	95876392	95925571	protein_coding			TUNAR	
ENSG00000236444	13	30422488	30429758	protein_coding			UBE2L5	
ENSG00000236444	13	30422488	30429758	protein_coding			UBE2L5	NM_001355247.2
ENSG00000255009	11	90085950	90087131	protein_coding			UBTFL1	NM_001143975.1
ENSG00000104691	8	30732247	30767006	protein_coding			UBXN8	
ENSG00000104691	8	30732247	30767006	protein_coding			UBXN8	NM_005671.4
ENSG00000233954	1	15807169	15809348	protein_coding			UQCRHL	
ENSG00000230549	8	7332387	7333979	protein_coding			USP17L1	NM_001256873.1
ENSG00000225327	8	7976393	7977985	protein_coding			USP17L3	NM_001256871.1
ENSG00000284806	CHR_HG76_PATCH	7490130	7491722	protein_coding			USP17L3	
ENSG00000236125	8	7337115	7338707	protein_coding			USP17L4	NM_001256874.1
ENSG00000284781	CHR_HG76_PATCH	7485404	7486996	protein_coding			USP17L4	
ENSG00000226430	8	12132417	12134099	protein_coding			USP17L7	NM_001256869.2
ENSG00000285497	CHR_HG76_PATCH	12174834	12176855	protein_coding			USP17L7	
ENSG00000237038	8	7971661	7973253	protein_coding			USP17L8	NM_001256872.1
ENSG00000181404	9	14475	73865	protein_coding			WASHC1	
ENSG00000146839	7	100733595	100797797	protein_coding			ZAN	NM_003386.3
ENSG00000146839	7	100733595	100797797	protein_coding			ZAN	
ENSG00000215817	1	219608010	219613145	protein_coding			ZC3H11B	
ENSG00000247315	20	297570	300321	protein_coding			ZCCHC3	NM_033089.7
ENSG00000205903	7	6637318	6658279	protein_coding			ZNF316	NM_001278559.2
ENSG00000205903	7	6637318	6658279	protein_coding			ZNF316	
ENSG00000177853	10	96129715	96205288	protein_coding			ZNF518A	
ENSG00000214534	11	71814045	71821548	protein_coding			ZNF705E	
ENSG00000250312	4	124501	202303	protein_coding			ZNF718	NM_001039127.6
ENSG00000250312	4	124501	202303	protein_coding			ZNF718	
ENSG00000241149	7	63998874	64016130	protein_coding			ZNF722P	
ENSG00000268696	19	22832291	22858667	protein_coding			ZNF723	NM_001349726.2
ENSG00000214652	7	64045434	64085339	protein_coding			ZNF727	NM_001159522.3
ENSG00000223614	7	64207090	64220508	protein_coding			ZNF735	
ENSG00000160336	19	53445001	53458261	protein_coding			ZNF761	
ENSG00000213793	19	52904417	52923481	protein_coding			ZNF888	
ENSG00000197062	6	28267010	28278224	protein_coding			ZSCAN26	
